年底別,機車/合計
57年,74689
58年,121668
59年,113065
60年,113268
61年,128445
62年,140088
63年,161582
64年,188487
65年,213581
66年,245118
67年,279197
68年,293996
69年,350921
70年,406140
71年,448390
72年,494343
73年,540338
74年,586272
75年,627846
76年,432457
77年,491579
78年,547058
79年,597586
80年,632816
81年,656815
82年,679169
83年,687267
84年,735015
85年,803277
86年,871537
87年,904232
88年,931399
89年,959013
90年,970169
91年,971568
92年,994336
93年,1018384
94年,1030972
95年,1046148
96年,1063662
97年,1080660
98年,1092788
99年,1094564
100年,1101578
101年,1099934
102年,1034810
103年,980563
104年,962797
105年,952180
106年,953645
107年,944171
108年,952055
109年,946851
110年,948193
